y,x1,x2,x3
y06,هندسه,13.75,نمرات مهر
y07,هندسه,8.75,نمرات مهر
y08,هندسه,8.75,نمرات مهر
y09,هندسه,12.5,نمرات مهر
y10,هندسه,13.75,نمرات مهر
y11,هندسه,16.875,نمرات مهر
y12,هندسه,14.375,نمرات مهر
y13,هندسه,11.25,نمرات مهر
y14,هندسه,6.875,نمرات مهر
y15,هندسه,15.625,نمرات مهر
y16,هندسه,13.125,نمرات مهر
y17,هندسه,15.625,نمرات مهر
y18,هندسه,16.875,نمرات مهر
y19,هندسه,20.0,نمرات مهر
y20,هندسه,0.0,نمرات مهر
y21,هندسه,0.0,نمرات مهر
y01,هندسه,13.88888889,امتحان دوم
y02,هندسه,12.5,امتحان دوم
y03,هندسه,7.5,امتحان دوم
y04,هندسه,6.944444444,امتحان دوم
y05,هندسه,4.166666667,امتحان دوم
y06,هندسه,15.55555556,امتحان دوم
y07,هندسه,5.833333333,امتحان دوم
y08,هندسه,3.888888889,امتحان دوم
y09,هندسه,6.388888889,امتحان دوم
y10,هندسه,0.0,امتحان دوم
y11,هندسه,15.0,امتحان دوم
y12,هندسه,8.333333333,امتحان دوم
y13,هندسه,0.0,امتحان دوم
y14,هندسه,7.777777778,امتحان دوم
y15,هندسه,0.0,امتحان دوم
y16,هندسه,9.166666667,امتحان دوم
y17,هندسه,15.0,امتحان دوم
y18,هندسه,16.11111111,امتحان دوم
y19,هندسه,20.0,امتحان دوم
y20,هندسه,0.0,امتحان دوم
y21,هندسه,0.0,امتحان دوم
y01,هندسه,18.33333333,بخش تکراری امتحان دوم
y02,هندسه,11.66666667,بخش تکراری امتحان دوم
y03,هندسه,8.333333333,بخش تکراری امتحان دوم
y04,هندسه,8.333333333,بخش تکراری امتحان دوم
y05,هندسه,4.166666667,بخش تکراری امتحان دوم
y06,هندسه,16.66666667,بخش تکراری امتحان دوم
y07,هندسه,10.0,بخش تکراری امتحان دوم
y08,هندسه,5.0,بخش تکراری امتحان دوم
y09,هندسه,10.0,بخش تکراری امتحان دوم
y10,هندسه,0.0,بخش تکراری امتحان دوم
y11,هندسه,15.0,بخش تکراری امتحان دوم
y12,هندسه,15.0,بخش تکراری امتحان دوم
y13,هندسه,0.0,بخش تکراری امتحان دوم
y14,هندسه,2.5,بخش تکراری امتحان دوم
y15,هندسه,0.0,بخش تکراری امتحان دوم
y16,هندسه,11.66666667,بخش تکراری امتحان دوم
y17,هندسه,17.5,بخش تکراری امتحان دوم
y18,هندسه,18.33333333,بخش تکراری امتحان دوم
y19,هندسه,20.0,بخش تکراری امتحان دوم
y20,هندسه,0.0,بخش تکراری امتحان دوم
y21,هندسه,0.0,بخش تکراری امتحان دوم
y01,هندسه,11.66666667,بخش جدید امتحان دوم
y02,هندسه,12.91666667,بخش جدید امتحان دوم
y03,هندسه,7.083333333,بخش جدید امتحان دوم
y04,هندسه,6.25,بخش جدید امتحان دوم
y05,هندسه,4.166666667,بخش جدید امتحان دوم
y06,هندسه,15.0,بخش جدید امتحان دوم
y07,هندسه,3.75,بخش جدید امتحان دوم
y08,هندسه,3.333333333,بخش جدید امتحان دوم
y09,هندسه,4.583333333,بخش جدید امتحان دوم
y10,هندسه,0.0,بخش جدید امتحان دوم
y11,هندسه,15.0,بخش جدید امتحان دوم
y12,هندسه,5.0,بخش جدید امتحان دوم
y13,هندسه,0.0,بخش جدید امتحان دوم
y14,هندسه,10.41666667,بخش جدید امتحان دوم
y15,هندسه,0.0,بخش جدید امتحان دوم
y16,هندسه,7.916666667,بخش جدید امتحان دوم
y17,هندسه,13.75,بخش جدید امتحان دوم
y18,هندسه,15.0,بخش جدید امتحان دوم
